Time,Latitude,Longitude,Altitude
1584903780.2250206,4026.02935,07957.18975,287.5
1584903781.2277708,4026.02929,07957.18970,287.3
1584903782.226073,4026.02925,07957.18965,287.2
1584903783.2261722,4026.02919,07957.18966,287.1
1584903784.2260273,4026.02916,07957.18959,286.9
1584903785.2250555,4026.02913,07957.18949,286.6
1584903786.2256277,4026.02911,07957.18941,286.4
1584903787.2253578,4026.02910,07957.18937,286.3
1584903788.2261899,4026.02908,07957.18929,286.1
1584903789.225194,4026.02906,07957.18923,285.9
1584903790.2248,4026.02906,07957.18917,285.8
1584903791.2228882,4026.02904,07957.18913,285.7
1584903792.2250981,4026.02902,07957.18912,285.6
1584903793.227538,4026.02899,07957.18912,285.7
1584903794.225362,4026.02894,07957.18912,285.7
1584903795.226632,4026.02891,07957.18913,285.8
1584903796.2282102,4026.02887,07957.18910,285.9
1584903797.2260334,4026.02885,07957.18916,286.1
1584903798.2259963,4026.02885,07957.18918,286.2
1584903799.226952,4026.02886,07957.18923,286.6
